,Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,Hc,Tc,ER,TS,YS,Elong,HV,Cost
34,66,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,973,12.5,,,,,11.83
35,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,973,11.74,,,,,12.16
36,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,974,11.07,,,,,12.48
37,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,975,10.49,,,,,12.81
38,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,975,9.92,,,,,13.14
39,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,975,9.37,,,,,13.47
40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,975,8.91,,,,,13.79
41,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,974,8.5,,,,,14.12
42,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,973,8.07,,,,,14.45
43,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,973,7.64,,,,,14.77
44,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,972,7.26,,,,,15.1
45,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,970,6.93,,,,,15.43
46,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,969,6.67,,,,,15.75
47,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,967,6.44,,,,,16.08
48,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,965,6.23,,,,,16.4
49,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,,964,6.03,,,,,16.72
50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,961,5.87,,,,,17.05
51,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,959,5.77,,,,,17.37
52,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,957,5.74,,,,,17.69
53,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,,955,5.73,,,,,18.02
54,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,,952,5.74,,,,,18.34
55,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,,949,5.73,,,,,18.66
56,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,,947,5.74,,,,,18.98
57,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,,944,5.75,,,,,19.3
58,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,,941,5.78,,,,,19.62
59,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,,938,5.82,,,,,19.95
60,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,935,5.87,,,,,20.27
61,39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,,932,5.94,,,,,20.59
62,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,,929,6.06,,,,,20.9
63,37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,,925,6.24,,,,,21.22
64,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,,922,6.51,,,,,21.54
65,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,,919,6.82,,,,,21.86
66,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,916,7.14,,,,,22.18
67,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,,913,7.6,,,,,22.5
68,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,,909,8.22,,,,,22.82
69,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,,906,8.83,,,,,23.13
70,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,,903,9.53,,,,,23.45
71,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,,900,10.3,,,,,23.77
72,28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,,897,11.1,,,,,24.08
73,27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,,889,11.99,,,,,24.4
74,26,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,,897,12.84,,,,,24.71
75,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,,906,13.61,,,,,25.03
76,24,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,,914,14.53,,,,,25.34
77,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,,923,15.77,,,,,25.66
78,22,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,,932,16.92,,,,,25.97
79,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,,940,18.04,,,,,26.29
80,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,,949,18.97,,,,,26.6
81,19,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,,957,19.39,,,,,26.91
82,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,,966,19.62,,,,,27.23
83,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,,974,19.78,,,,,27.54
84,16,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,,983,19.87,,,,,27.85
